text,category,quality
Train a model to predict stock prices based on historical data and technical indicators.,Machine Learning,good
Create a model that can recognize hand-written digits.,Machine Learning,poor
Design a recommender system for products based on user behavior and contextual information.,Machine Learning,excellent
Develop a predictive model to forecast energy consumption based on weather patterns and historical data.,Machine Learning,good
Create a model that can classify text as sarcastic or not.,Machine Learning,poor
"Predict customer churn for telecom users based on usage patterns over the past 3 months, with a focus on retaining high-value customers. Output a probability score and top 5 features contributing to churn.",Machine Learning,excellent
"Train a model to classify product reviews as positive or negative using a dataset of 10,000 reviews. Evaluate model performance using accuracy and F1-score.",Machine Learning,excellent
Develop a recommendation system for a e-commerce platform based on user purchase history and product features. Provide a list of top 10 product recommendations for a user.,Machine Learning,excellent
Analyze the sentiment of tweets about a specific company over the past year. Identify key drivers of positive and negative sentiment.,Machine Learning,excellent
"What are the key features that differentiate the performance of a model trained with a dataset of 100,000 images from one trained with a dataset of 50,000 images?",Machine Learning,poor
"Develop a model to predict house prices based on location, number of bedrooms, and square footage. Provide a regression model with R-squared value.",Machine Learning,good
"I have a dataset of 10,000 customer transactions. Can you build a model to predict which customers are likely to spend more than $1000 in the next quarter?",Machine Learning,good
Classify patients as having diabetes or not based on a set of medical features. Output a probability score and confusion matrix.,Machine Learning,good
Can you develop a model to predict stock prices based on historical data?,Machine Learning,poor
I have a dataset of customer interactions. Can you build a model to identify the most effective marketing channels?,Machine Learning,good
"Develop a model to classify text as spam or not spam. Use a dataset of 100,000 messages.",Machine Learning,good
"Analyze the performance of a model trained with a dataset of 100,000 images. What are the key features that contribute to its accuracy?",Machine Learning,excellent
"I have a dataset of 10,000 customer transactions. Can you build a model to predict which customers are likely to churn?",Machine Learning,good
Develop a model to predict customer satisfaction based on survey responses. Output an overall satisfaction score and top 5 factors contributing to satisfaction.,Machine Learning,excellent
"Train a model to classify text as positive or negative using a dataset of 10,000 reviews. Evaluate model performance using precision and recall.",Machine Learning,excellent
Can you develop a model to predict the likelihood of a customer making a purchase based on their browsing history?,Machine Learning,poor
Develop a recommendation system for a streaming service based on user watch history and ratings. Provide a list of top 10 show recommendations for a user.,Machine Learning,good
Analyze the sentiment of customer feedback about a specific product over the past year. Identify key drivers of positive and negative sentiment.,Machine Learning,good
"What are the key differences between a model trained with a dataset of 100,000 images and one trained with a dataset of 50,000 images?",Machine Learning,poor
Develop a model to predict the likelihood of a user responding to a survey based on their past engagement with the survey.,Machine Learning,good
"Can you build a model to classify text as spam or not spam using a dataset of 100,000 messages?",Machine Learning,good
"Train a model to classify product reviews as positive or negative using a dataset of 10,000 reviews. Output a classification report.",Machine Learning,excellent
"I have a dataset of 10,000 customer transactions. Can you develop a model to predict which customers are likely to spend more than $500 in the next quarter?",Machine Learning,good
Develop a model to predict customer churn for telecom users based on usage patterns over the past 3 months. Output a probability score and top 5 features contributing to churn.,Machine Learning,excellent
Can you develop a model to predict the likelihood of a customer making a purchase based on their purchase history?,Machine Learning,poor
Develop a recommendation system for a e-commerce platform based on user purchase history and product features. Provide a list of top 5 product recommendations for a user.,Machine Learning,excellent
"Train a model to classify text as positive or negative using a dataset of 10,000 reviews. Output a confusion matrix and classification report.",Machine Learning,excellent
"I have a dataset of 10,000 customer transactions. Can you build a model to predict which customers are likely to churn?",Machine Learning,good
"Analyze the performance of a model trained with a dataset of 100,000 images. What are the key factors that contribute to its accuracy?",Machine Learning,good
Develop a model to predict customer satisfaction based on survey responses. Output an overall satisfaction score and top 10 factors contributing to satisfaction.,Machine Learning,excellent
"Can you develop a model to classify text as spam or not spam using a dataset of 100,000 messages?",Machine Learning,good
I have a dataset of customer interactions. Can you build a model to identify the most effective marketing channels?,Machine Learning,good
Develop a recommendation system for a streaming service based on user watch history and ratings. Provide a list of top 10 show recommendations for a user.,Machine Learning,good
"Train a model to classify product reviews as positive or negative using a dataset of 10,000 reviews. Output a precision and recall score.",Machine Learning,excellent
Develop a model to predict the likelihood of a customer making a purchase based on their browsing history and purchase history.,Machine Learning,poor
Analyze the sentiment of customer feedback about a specific product over the past year. Identify key drivers of positive sentiment.,Machine Learning,good
Can you develop a model to predict the likelihood of a user responding to a survey based on their past engagement with the survey?,Machine Learning,good
Develop a model to predict customer churn for telecom users based on usage patterns over the past 3 months. Output a probability score and top 10 features contributing to churn.,Machine Learning,excellent
"I have a dataset of 10,000 customer transactions. Can you develop a model to predict which customers are likely to spend more than $500 in the next quarter?",Machine Learning,good
Develop a recommendation system for a e-commerce platform based on user purchase history and product features. Provide a list of top 10 product recommendations for a user.,Machine Learning,good
Can you develop a model to predict the likelihood of a customer making a purchase based on their purchase history?,Machine Learning,poor
"Train a model to classify text as positive or negative using a dataset of 10,000 reviews. Output a classification report and confusion matrix.",Machine Learning,excellent
Develop a model to predict customer satisfaction based on survey responses. Output an overall satisfaction score and top 5 factors contributing to satisfaction.,Machine Learning,excellent
"I have a dataset of 10,000 customer transactions. Can you build a model to predict which customers are likely to churn?",Machine Learning,good
Develop a model to predict the likelihood of a user responding to a survey based on their past engagement with the survey and demographic information.,Machine Learning,poor
"Develop a model to predict house prices in San Francisco, using historical data from Zillow, and considering factors like number of bedrooms and square footage. Please use a regression algorithm and provide a detailed report on the model's performance and potential biases.",Machine Learning,excellent
Train a chatbot to answer medical questions using a dataset from the Mayo Clinic.,Machine Learning,good
Build a facial recognition system using a neural network.,Machine Learning,poor
Improve the accuracy of a binary classification model by 20% using a different activation function and tuning the hyperparameters.,Machine Learning,excellent
Classify text as spam or not spam.,Machine Learning,good
Create a model to predict stock prices based on historical data.,Machine Learning,poor
Analyze the sentiment of customer reviews on Yelp and determine the top 5 positive and negative words used.,Machine Learning,excellent
Train a model to recognize hand-written digits.,Machine Learning,good
Develop a recommender system for e-commerce based on user behavior and product features.,Machine Learning,poor
Detect anomalies in a dataset of credit card transactions using a one-class SVM.,Machine Learning,excellent
Create a model to predict the likelihood of a customer churn.,Machine Learning,good
Build a model to classify images into different categories.,Machine Learning,poor
Optimize the parameters of a neural network using gradient descent to improve its performance on a image classification task.,Machine Learning,excellent
Develop a model to predict the remaining useful life of a machine using a dataset from the PdM (Predictive Maintenance) domain.,Machine Learning,good
"Create a model to classify text as positive, negative or neutral based on its content.",Machine Learning,poor
Train a model to recognize objects in images using transfer learning.,Machine Learning,excellent
Analyze the usage patterns of a mobile app and determine the demographic characteristics of its users.,Machine Learning,good
Develop a model to predict the outcome of a medical treatment based on patient data.,Machine Learning,poor
Create a model to classify emails as spam or not spam based on their content.,Machine Learning,excellent
Build a recommender system for music based on user listening history.,Machine Learning,good
Develop a model to predict the stock prices of a company.,Machine Learning,poor
Train a model to recognize handwritten characters using a convolutional neural network.,Machine Learning,excellent
Analyze the sentiment of social media posts and determine the top 5 hashtags used.,Machine Learning,good
Create a model to classify text as formal or informal based on its content.,Machine Learning,poor
Develop a model to predict the likelihood of a customer making a purchase based on their browsing history.,Machine Learning,excellent
Classify text as sarcasm or not sarcasm.,Machine Learning,good
Build a model to recognize objects in images using a YOLO (You Only Look Once) algorithm.,Machine Learning,poor
Train a model to predict the performance of a car based on its features and usage patterns.,Machine Learning,excellent
Analyze the customer churn rate of a telecom company based on its customer usage patterns.,Machine Learning,good
"Create a model to classify text as positive, negative or neutral based on its content and sentiment.",Machine Learning,poor
Develop a model to predict the outcome of a medical diagnosis based on patient symptoms and medical history.,Machine Learning,excellent
Classify text as hate speech or not hate speech.,Machine Learning,good
Build a model to recognize objects in images using a ResNet50 architecture.,Machine Learning,poor
Train a model to predict the stock prices of a company based on historical data and market trends.,Machine Learning,excellent
Analyze the usage patterns of a web application and determine the top 5 most frequently used features.,Machine Learning,good
"Create a model to classify text as positive, negative or neutral based on its content and sentiment and determine the top 5 most frequently used words.",Machine Learning,poor
Develop a model to predict the likelihood of a customer making a purchase based on their browsing history and purchase behavior.,Machine Learning,excellent
Train a model to recognize objects in images using a transfer learning approach.,Machine Learning,good
Analyze the customer satisfaction rate of a company based on its customer reviews and feedback.,Machine Learning,poor
"Create a model to classify text as positive, negative or neutral based on its content and sentiment and determine the top 5 most frequently used hashtags.",Machine Learning,excellent
Build a model to recognize objects in images using a Faster R-CNN algorithm.,Machine Learning,good
Train a model to predict the performance of a car based on its features and usage patterns and determine the top 5 most frequently used features.,Machine Learning,poor
Analyze the customer churn rate of a telecom company based on its customer usage patterns and determine the top 5 most frequently used features.,Machine Learning,excellent
Develop a model to predict the outcome of a medical diagnosis based on patient symptoms and medical history and determine the top 5 most frequently used symptoms.,Machine Learning,good
Develop a recommender system for an e-commerce platform based on customer purchase history and product categories. The system should be able to handle missing values and recommend at least 5 products per user. Provide a detailed report and code for the same. ,Machine Learning,excellent
Build a neural network for classifying handwritten digits. Use MNIST dataset and achieve at least 95% accuracy. ,Machine Learning,excellent
Implement a chatbot using natural language processing that can understand basic customer queries and respond accordingly. ,Machine Learning,good
Create a model to predict stock prices based on historical data. Use only technical indicators. ,Machine Learning,poor
Train a model to classify breast cancer images using a publicly available dataset. Compare its performance with a traditional machine learning approach. ,Machine Learning,excellent
Build a facial recognition system using deep learning. ,Machine Learning,good
Develop a system to classify customer reviews as positive or negative. ,Machine Learning,poor
Create a model to predict energy consumption based on temperature and humidity. Use regression analysis and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Implement a clustering algorithm to group customers based on their purchasing behavior. Use a publicly available dataset. ,Machine Learning,good
Build a model to classify text as spam or not. ,Machine Learning,poor
Develop a system to recommend products to customers based on their search history and purchase behavior. The system should be able to handle missing values and recommend at least 10 products per user. ,Machine Learning,excellent
"Create a model to predict student grades based on their attendance, assignments, and exam scores. Use linear regression and cross-validation. Provide a detailed report and code for the same. ",Machine Learning,excellent
Implement a decision tree algorithm to classify customers based on their demographic and behavioral data. ,Machine Learning,good
Build a model to classify images into different categories using deep learning. ,Machine Learning,poor
Develop a system to classify text as formal or informal. ,Machine Learning,poor
Create a model to predict the probability of a customer churning based on their usage history. Use survival analysis and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Implement a support vector machine algorithm to classify customers based on their demographic and behavioral data. ,Machine Learning,good
Build a model to classify text as sarcastic or not. ,Machine Learning,poor
Develop a recommender system for a media platform based on user ratings and preferences. The system should be able to handle missing values and recommend at least 5 items per user. ,Machine Learning,excellent
Create a model to predict the probability of a student dropping out based on their academic performance and demographic data. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Implement a clustering algorithm to group customers based on their demographic and behavioral data. Use a publicly available dataset. ,Machine Learning,good
"Build a model to classify text as positive, negative, or neutral. ",Machine Learning,poor
Develop a system to classify customers as low-risk or high-risk based on their credit history and usage pattern. ,Machine Learning,good
Create a model to predict the probability of a customer responding to an email based on their past behavior. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Implement a decision tree algorithm to classify customers based on their demographic and behavioral data. ,Machine Learning,good
Build a model to classify images into different categories using transfer learning. ,Machine Learning,good
Develop a system to classify text as authentic or fake. ,Machine Learning,poor
Create a model to predict the probability of a customer making a purchase based on their search history and purchase behavior. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Implement a support vector machine algorithm to classify customers based on their demographic and behavioral data. ,Machine Learning,good
Build a model to classify text as funny or not. ,Machine Learning,poor
Develop a recommender system for a music platform based on user ratings and preferences. The system should be able to handle missing values and recommend at least 10 items per user. ,Machine Learning,excellent
Create a model to predict the probability of a student achieving a certain grade based on their academic performance and demographic data. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Implement a clustering algorithm to group customers based on their demographic and behavioral data. Use a publicly available dataset. ,Machine Learning,good
Build a model to classify text as enthusiastic or not. ,Machine Learning,poor
Develop a system to classify customers based on their creditworthiness. ,Machine Learning,poor
Create a model to predict the probability of a customer responding to a promotion based on their past behavior. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Implement a decision tree algorithm to classify customers based on their demographic and behavioral data. ,Machine Learning,good
Build a model to classify images into different categories using convolutional neural networks. ,Machine Learning,good
Develop a system to classify text as informative or not. ,Machine Learning,poor
Create a model to predict the probability of a student being accepted into a certain university based on their academic performance and demographic data. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Implement a support vector machine algorithm to classify customers based on their demographic and behavioral data. ,Machine Learning,good
Build a model to classify text as emotional or not. ,Machine Learning,poor
Develop a recommender system for a news platform based on user ratings and preferences. The system should be able to handle missing values and recommend at least 5 items per user. ,Machine Learning,excellent
Create a model to predict the probability of a customer making a purchase based on their search history and purchase behavior. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Implement a clustering algorithm to group customers based on their demographic and behavioral data. Use a publicly available dataset. ,Machine Learning,good
Build a model to classify text as persuasive or not. ,Machine Learning,poor
Develop a system to classify customers as high-income or low-income based on their demographic data. ,Machine Learning,poor
Create a model to predict the probability of a student achieving a certain grade based on their academic performance and demographic data. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,excellent
Develop a classification model using logistic regression to predict customer churn based on demographic data and purchase history.,Machine Learning,excellent
Can you create a clustering model to group similar customers based on their shopping behavior?,Machine Learning,good
Machine learning stuff,Machine Learning,poor
Implement a recommendation system using collaborative filtering to suggest products to users based on their past purchases.,Machine Learning,excellent
"I need a model to predict stock prices, can you train one using historical data?",Machine Learning,good
Can you do some machine learning magic and give me the code?,Machine Learning,poor
"Build a regression model to predict house prices based on features like square footage, number of bedrooms, and location.",Machine Learning,excellent
Create a neural network to classify images of cats and dogs.,Machine Learning,good
Just give me the answer,Machine Learning,poor
Develop a time series forecasting model to predict energy consumption based on historical data and weather patterns.,Machine Learning,excellent
Can you create a model to classify text as spam or not spam?,Machine Learning,good
Machine learning question,Machine Learning,poor
Implement a decision tree to predict customer segment based on demographic data and purchase history.,Machine Learning,excellent
Create a model to predict employee turnover based on performance data and work environment.,Machine Learning,good
Can you do that thing with the data?,Machine Learning,poor
Build a clustering model to group similar customers based on their shopping behavior and purchase history.,Machine Learning,excellent
I need a model to predict sales based on historical data and marketing campaigns.,Machine Learning,good
Just need a model,Machine Learning,poor
Develop a classification model using support vector machines to predict customer churn based on demographic data and purchase history.,Machine Learning,excellent
Create a model to classify images of cars as sedan or SUV.,Machine Learning,good
Machine learning code,Machine Learning,poor
Implement a random forest to predict stock prices based on historical data.,Machine Learning,excellent
Can you create a model to classify text as positive or negative?,Machine Learning,good
Just need the model,Machine Learning,poor
Build a regression model to predict salary based on education level and years of experience.,Machine Learning,excellent
Create a model to classify customers as high value or low value based on their purchase history.,Machine Learning,good
Machine learning question mark,Machine Learning,poor
Develop a survival analysis model to predict customer retention based on demographic data and purchase history.,Machine Learning,excellent
I need a model to predict energy consumption based on historical data and weather patterns.,Machine Learning,good
Can you create a model to classify images of animals?,Machine Learning,poor
Implement a model to predict customer satisfaction based on demographic data and purchase history.,Machine Learning,excellent
Create a model to classify text as spam or not spam using logistic regression.,Machine Learning,good
Machine learning help,Machine Learning,poor
Build a clustering model to group similar customers based on their shopping behavior and demographic data.,Machine Learning,excellent
Can you create a model to predict stock prices based on historical data?,Machine Learning,good
Just give me the result,Machine Learning,poor
Develop a classification model using k-nearest neighbors to predict customer churn based on demographic data and purchase history.,Machine Learning,excellent
Create a model to classify customers as high value or low value based on their purchase history and demographic data.,Machine Learning,good
Machine learning thing,Machine Learning,poor
Implement a decision tree to predict customer segment based on demographic data and purchase history.,Machine Learning,excellent
Can you create a model to classify text as positive or negative?,Machine Learning,good
Just need the data,Machine Learning,poor
"Build a regression model to predict house prices based on features like square footage, number of bedrooms, and location.",Machine Learning,excellent
Create a model to classify images of cars as sedan or SUV.,Machine Learning,good
Machine learning task,Machine Learning,poor
Automate the process of deploying a new version of the front-end application to production servers every Friday at 10 PM with Kubernetes and Ansible.,DevOps,excellent
I need a Python script to monitor and alert if CPU usage exceeds 70% on our company's servers in the next 24 hours.,DevOps,excellent
"Write a shell script to automate the backup of MySQL databases on our staging environment every Sunday at 8 AM, using a 1-week retention period and store it in /var/backup.",DevOps,excellent
Create a CI/CD pipeline for our Spring Boot application hosted on AWS CodePipeline and Jenkins.,DevOps,good
What's the command to install OpenJDK 11 on Ubuntu 20.04?,DevOps,good
Develop a Docker container for our application written in Node.js using the latest Node.js version.,DevOps,good
Write a Terraform configuration to create a AWS S3 bucket named my-app-bucket.,DevOps,good
Create a script to send a weekly report about system resource usage to our team's email list.,DevOps,good
Can you create an Ansible playbook to deploy our Java application to multiple servers in the development environment?,DevOps,good
I need a Python script to monitor our company's server logs and send alerts to the team for suspicious activity.,DevOps,excellent
What's the command to update the kernel on our CentOS servers?,DevOps,good
Write a script to automate the installation of the latest version of Apache Kafka and ZOOKEEPER on our staging environment.,DevOps,excellent
Can you suggest a logging solution for our Node.js application using ELK stack?,DevOps,good
Create a Jenkinsfile to automate the deployment of our Spring Boot application to AWS Elastic Beanstalk.,DevOps,good
Develop a Python script to monitor system memory and send alerts if it falls below 1 GB.,DevOps,excellent
Can you create a Terraform configuration to create an AWS CloudFront distribution for our S3 bucket?,DevOps,good
Write a shell script to automate the creation of AWS IAM roles and policies for our company's DevOps team.,DevOps,excellent
What's the command to enable HTTP2 on our Apache server?,DevOps,good
Can you suggest a containerization tool for our company's applications?,DevOps,good
Develop a Python script to monitor our company's system logs and send alerts for unusual activity.,DevOps,excellent
Write a Jenkinsfile to automate the deployment of our Java application to our company's staging environment.,DevOps,good
Can you create a Dockerfile for our Node.js application using the latest version of Node.js?,DevOps,good
Create a Terraform configuration to create an AWS Lambda function for our company's backend application.,DevOps,excellent
Write a Python script to automate the backup of our MySQL databases on our company's staging environment.,DevOps,excellent
Can you suggest a load balancing solution for our company's applications?,DevOps,good
Create a Jenkinsfile to automate the deployment of our Spring Boot application to our company's production environment.,DevOps,good
Develop a Python script to monitor our company's system resource usage and send alerts if resources fall below a certain threshold.,DevOps,excellent
Can you create a Docker container for our company's backend application written in Python?,DevOps,good
What's the command to install the latest version of Apache on our Ubuntu servers?,DevOps,good
Write a shell script to automate the installation of the latest version of MongoDB on our company's staging environment.,DevOps,excellent
Can you suggest a CI/CD tool for our company's applications?,DevOps,good
Develop a Python script to monitor our company's server logs and send alerts for security-related activity.,DevOps,excellent
Create a Terraform configuration to create an AWS RDS instance for our company's database.,DevOps,good
Write a Jenkinsfile to automate the deployment of our Java application to our company's development environment.,DevOps,good
Can you create an Ansible playbook to deploy our Node.js application to multiple servers in our company's testing environment?,DevOps,excellent
Write a Python script to automate the backup of our system logs on our company's production environment.,DevOps,excellent
Can you suggest a monitoring tool for our company's system resources?,DevOps,good
Create a Jenkinsfile to automate the deployment of our Spring Boot application to our company's staging environment.,DevOps,good
Develop a Python script to monitor our company's system resource usage and send alerts for unusual activity.,DevOps,excellent
Can you create a Terraform configuration to create an AWS EC2 instance for our company's web server?,DevOps,good
Write a shell script to automate the installation of the latest version of PostgreSQL on our company's development environment.,DevOps,excellent
Write a Python script to automate the deployment of our company's Java application to our company's production environment.,DevOps,poor
Can you create a Docker container for our Node.js application using the latest Node.js version?,DevOps,good
Develop a Terraform configuration to create an AWS S3 bucket for our company's frontend assets.,DevOps,excellent
What's the command to enable HTTPS on our Apache server?,DevOps,good
Write a Jenkinsfile to automate the deployment of our company's backend application to our company's staging environment.,DevOps,good
Can you create an Ansible playbook to deploy our company's Java application to multiple servers in our company's production environment?,DevOps,excellent
Can you suggest a logging solution for our company's system resources?,DevOps,good
Write a Python script to automate the backup of our MySQL databases on our company's testing environment.,DevOps,excellent
What's the command to update the kernel on our CentOS servers?,DevOps,good
Create a Terraform configuration to create an AWS CloudFront distribution for our company's S3 bucket.,DevOps,good
Write a shell script to automate the installation of the latest version of MariaDB on our company's staging environment.,DevOps,excellent
Can you create a Jenkinsfile to automate the deployment of our company's Spring Boot application to our company's production environment?,DevOps,good
Can you suggest a containerization tool for our company's applications?,DevOps,good
Write a Python script to automate the deployment of our company's Java application to our company's testing environment.,DevOps,poor
Develop a Python script to monitor our company's system logs and send alerts for security-related activity.,DevOps,excellent
Can you create a Terraform configuration to create an AWS Lambda function for our company's frontend application?,DevOps,good
What's the command to enable HTTP2 on our Nginx server?,DevOps,good
Write a shell script to automate the installation of the latest version of Redis on our company's development environment.,DevOps,excellent
Write a Python script to automate the backup of our system logs on our company's staging environment.,DevOps,excellent
"Create a Python script to automate Jenkins build and deployment to AWS using AWS CLI, Jenkins API and AWS Cognito. The script should take AWS credentials as input and handle errors with retries. The code should be formatted according to PEP8 and run with Python 3.8+, quality: excellent",DevOps,good
Write a shell script to backup MySQL database to S3. Use mysql2s3 tool and ensure data is encrypted. The script should be run as cron job daily. quality: excellent,DevOps,good
"Develop Nodejs application that interacts with Azure Service Bus using azure-functions. Implement auto-retrying mechanism, error logging and metrics monitoring. quality: excellent",DevOps,good
Write a Python script to integrate Slack with Prometheus and Grafana for alerting and visualization. Use Slack API and ensure bot is properly configured. quality: excellent,DevOps,good
Design a Kubernetes deployment and service for a web application written in Go. The service should run on port 80 and use load balancing. quality: excellent,DevOps,good
Implement a Bash script to automate Terraform deployment for a network of AWS EC2 instances. Use AWS CLI and handle instance states. quality: excellent,DevOps,good
Develop a Java Spring Boot application that integrates with RabbitMQ for distributed task queueing. Implement dead-letter queue and error handling. quality: excellent,DevOps,good
Create a Dockerfile for a Python application that uses Flask and runs on Ubuntu 18.04. The image should be 100MB in size and have a multi-stage build. quality: excellent,DevOps,good
Write a shell script to automate AWS CodePipeline deployment for a frontend React application. Use AWS CLI and handle pipeline states. quality: excellent,DevOps,good
Implement a Python script to automate Prometheus and Grafana for monitoring and alerting. Use Prometheus API and ensure proper configuration. quality: excellent,DevOps,good
Develop a .NET Core application that integrates with Azure Event Grid for event-driven architecture. Implement event handling and error logging. quality: excellent,DevOps,good
Create a Kubernetes resource for a PostgreSQL database that runs on a persistent volume with an SSD disk. The resource should use a service account for authentication. quality: excellent,DevOps,good
Write a Bash script to automate Jenkins build and deployment for a Ruby on Rails application. Use Jenkins API and handle build states. quality: excellent,DevOps,good
Write a Java Spring Boot application that integrates with Apache Kafka for real-time data processing. Implement producer and consumer mechanisms. quality: excellent,DevOps,good
Develop a Nodejs application that interacts with Google Cloud Storage using Cloud Storage client library. Implement data encryption and access control. quality: excellent,DevOps,good
Implement a Python script to automate Azure DevOps pipeline for a .NET Core application. Use Azure DevOps API and handle pipeline states. quality: excellent,DevOps,good
Write a shell script to automate AWS CodeBuild deployment for a frontend Angular application. Use AWS CLI and handle build states. quality: excellent,DevOps,good
Develop a Java Spring Boot application that integrates with Apache Cassandra for distributed NoSQL database. Implement data retrieval and error handling. quality: excellent,DevOps,good
Create a Kubernetes configuration for a web server that uses Nginx and runs on a persistent volume with an SSD disk. The configuration should use a service account for authentication. quality: excellent,DevOps,good
Write a Python script to integrate Grafana with AWS CloudWatch for monitoring and alerting. Use Grafana API and ensure proper configuration. quality: excellent,DevOps,good
Implement a Bash script to automate AWS Elastic Beanstalk deployment for a Java Spring Boot application. Use AWS CLI and handle deployment states. quality: excellent,DevOps,good
Develop a Nodejs application that interacts with Azure Blob Storage using Azure Blob Storage client library. Implement data encryption and access control. quality: excellent,DevOps,good
Write a Java Spring Boot application that integrates with Apache ZooKeeper for distributed locking mechanism. Implement node registration and node heartbeats. quality: good,DevOps,good
Create a Python script to automate Jenkins build and deployment for a Python application. Use Jenkins API and handle build states. quality: good,DevOps,good
Develop a DotNet application that integrates with Microsoft SQL Server for real-time data processing. Implement data retrieval and error handling. quality: good,DevOps,good
Write a Bash script to automate AWS RDS deployment for a PostgreSQL database. Use AWS CLI and handle deployment states. quality: good,DevOps,good
Write a Java Spring Boot application that integrates with Apache Flink for real-time data processing. Implement producer and consumer mechanisms. quality: good,DevOps,good
Write a Python script to automate Prometheus and Grafana for monitoring and alerting. Use Prometheus API and ensure proper configuration. quality: good,DevOps,good
"Implement a Nodejs application that interacts with Azure Service Bus using Azure Service Bus client library. Implement auto-retrying mechanism, error logging and metrics monitoring. quality: good",DevOps,good
Write a Java Spring Boot application that integrates with Apache Kafka Connect for real-time data processing. Implement source and sink connectors. quality: good,DevOps,good
Create a Kubernetes resource for a web server that uses Nginx and runs on a persistent volume with an SSD disk. quality: good,DevOps,good
Write a Python script to automate Azure DevOps pipeline for a .NET Core application. Use Azure DevOps API and handle pipeline states. quality: good,DevOps,good
Write a Java Spring Boot application that integrates with Apache Cassandra for distributed NoSQL database. Implement data retrieval and error handling. quality: good,DevOps,good
Develop a Nodejs application that interacts with Google Cloud Storage using Cloud Storage client library. Implement data encryption and access control. quality: good,DevOps,good
Implement a Bash script to automate Jenkins build and deployment for a Java application. Use Jenkins API and handle build states. quality: poor,DevOps,good
Create a Python application that interacts with AWS S3. Implement data retrieval and error handling. quality: poor,DevOps,good
Write a Java Spring Boot application that integrates with MongoDB for real-time data processing. Implement data retrieval and error handling. quality: poor,DevOps,good
Write a Python script to automate Docker deployment for a web application. Use Docker API and ensure proper configuration. quality: poor,DevOps,good
Develop a .NET Core application that integrates with Azure Event Grid for event-driven architecture. Implement event handling and error logging. quality: poor,DevOps,good
Create a Kubernetes deployment for a web application written in Python. The service should run on port 80 and use load balancing. quality: poor,DevOps,good
Write a Bash script to automate AWS Lambda deployment for a Nodejs application. Use AWS CLI and handle deployment states. quality: poor,DevOps,good
Write a Java Spring Boot application that integrates with RabbitMQ for distributed task queueing. Implement dead-letter queue and error handling. quality: poor,DevOps,good
Implement a Python script to automate Jenkins build and deployment for a Ruby on Rails application. Use Jenkins API and handle build states. quality: poor,DevOps,good
Develop a Nodejs application that interacts with Google Cloud Pub/Sub using Cloud Pub/Sub client library. Implement data retrieval and error handling. quality: poor,DevOps,good
Write a Java Spring Boot application that integrates with Apache Flink for real-time data processing. Implement producer and consumer mechanisms. quality: poor,DevOps,good
Write a Python script to integrate Prometheus with AWS CloudWatch for monitoring and alerting. Use Prometheus API and ensure proper configuration. quality: poor,DevOps,good
Write a Bash script to automate AWS CodePipeline deployment for a frontend React application. Use AWS CLI and handle pipeline states. quality: poor,DevOps,good
Write a Java Spring Boot application that integrates with Apache Kafka Connect for real-time data processing. Implement source and sink connectors. quality: poor,DevOps,good
Implement a Python script to automate Azure DevOps pipeline for a .NET Core application. Use Azure DevOps API and handle pipeline states. quality: poor,DevOps,good
Develop a Nodejs application that interacts with Azure Blob Storage using Azure Blob Storage client library. Implement data encryption and access control. quality: poor,DevOps,good
Create a Kubernetes resource for a PostgreSQL database that runs on a persistent volume with an SSD disk. The resource should use a service account for authentication. quality: poor,DevOps,good
Write a Java Spring Boot application that integrates with Apache Cassandra for distributed NoSQL database. Implement data retrieval and error handling. quality: poor,DevOps,good
"Create a deployment script for a Node.js application using Docker and Kubernetes, considering the need for scaling and high availability, and output the YAML file in the format specified by the Kubernetes configuration file.",DevOps,excellent
Please set up a Jenkins pipeline for a Java project and integrate it with GitLab CI/CD.,DevOps,good
Make it happen.,DevOps,poor
Develop a Python script to automate the process of checking for software updates on a Linux server.,DevOps,excellent
Write a bash script to monitor system logs and send notifications if there are any errors.,DevOps,good
Can you make a monitoring system?,DevOps,poor
Create a Terraform configuration to provision an AWS EC2 instance with the necessary security groups and configure it to run a Python application.,DevOps,excellent
Create a Dockerfile for a .NET Core application and ensure it works with Windows and Linux.,DevOps,good
Can you create a Dockerfile?,DevOps,poor
Write a bash script to automate the process of starting and stopping services on a Linux server.,DevOps,good
Please set up a monitoring system for a Docker container.,DevOps,good
Make sure the system is secure.,DevOps,poor
Develop a Go program to automate the process of checking for disk space usage on a Linux server.,DevOps,excellent
Create a deployment script for a .NET Core application using Azure DevOps and output the YAML file in the format specified by Azure DevOps.,DevOps,excellent
Can you automate the deployment process?,DevOps,poor
Create a bash script to automate the process of running database queries on a SQL Server instance.,DevOps,good
