text,category,overall_score,task_clarity,context_score,specificity,role_definition,output_format,examples,constraints
"Create a 5-page guide on how to improve your public speaking skills. The guide should be written in a clear and concise tone, include actionable tips, and assume an audience with a basic understanding of public speaking principles.",Writing,54,12,10,12,5,10,0,5
Classify text as sarcasm or not sarcasm.,Machine Learning,25,15,0,10,0,0,0,0
"Develop a Python script that takes user input and calculates the area of a rectangle given its length and width, and output the result in a formatted string.",General,39,12,5,12,0,10,0,0
Write a Java program to sort an array of integers.,Programming,30,15,0,15,0,0,0,0
Develop a Python script to automate the process of sending emails to team members if there are any errors.,DevOps,27,12,5,10,0,0,0,0
Create a character sketch of a historical figure.,Writing,25,10,5,5,0,5,0,0
"Train a model to classify product reviews as positive or negative using a dataset of 10,000 reviews. Output a classification report.",Machine Learning,42,12,5,10,0,10,0,5
Write a Java program to find the sum of all elements in an array.,Programming,30,15,0,15,0,0,0,0
Study the effect of AI on human employment. ,Research,20,10,5,5,0,0,0,0
Investigate the relationship between air pollution and respiratory diseases.,Research,32,12,10,10,0,0,0,0
Write a short story about a character who has a secret that could ruin their reputation.,Writing,17,12,0,5,0,0,0,0
Develop a recommendation system for a streaming service based on user watch history and ratings. Provide a list of top 10 show recommendations for a user.,Machine Learning,49,12,10,12,5,10,0,0
"Write a persuasive essay arguing in favor of stricter gun laws in the United States. The essay should be 750 words, include statistical data and expert opinions, and be written in a formal tone.",Writing,55,15,10,10,0,10,0,10
Create a character profile for a hero in a story. Include their backstory and motivations.,Writing,27,12,0,10,0,5,0,0
Make sure it is efficient.,DevOps,0,0,0,0,0,0,0,0
Develop a model to predict the likelihood of a user engaging with a marketing campaign based on their past interactions and preferences. The model should be able to handle historical data and make predictions for future time steps.,Machine Learning,37,12,5,10,0,5,0,5
Design a clustering algorithm to segment customers based on demographic and behavioral data.,Machine Learning,34,12,10,12,0,0,0,0
Create a Python script that takes a list of numbers and returns the maximum value.,General,45,15,0,15,0,15,0,0
Can you generate a Java script to connect to a MySQL database and retrieve all the tables in the database?,General,37,12,5,10,0,10,0,0
Design a Ruby method to calculate the Fibonacci series up to the nth term.,Programming,35,15,5,15,0,0,0,0
Create a compelling dialogue between two characters with conflicting personalities.,Writing,27,12,0,5,0,10,0,0
Create a model to predict the probability of a student achieving a certain grade based on their academic performance and demographic data. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,52,12,10,13,0,12,0,5
"I'd like to create a RESTful API using Django to handle user requests. The API should be able to handle GET, POST, PUT, and DELETE requests. Can you provide a basic example?",General,37,12,5,10,0,5,5,0
Analyze the impact of climate change on global food production.,Research,34,12,10,12,0,0,0,0
Create a predictive model to forecast the spread of a disease based on historical data and weather patterns.,Machine Learning,34,12,10,12,0,0,0,0
"Develop a Python script to automate the deployment of a Docker container on AWS EC2 instances using Ansible and Terraform, given a list of 5 instances, including instance id, instance type, and availability zone. Please provide the code and a step-by-step explanation of how it works. Limit the script to 10k lines and ensure it adheres to AWS security best practices.",DevOps,65,15,15,15,0,10,0,10
Implement a C++ function to calculate the area and perimeter of a rectangle given its width and height.,Programming,35,15,5,15,0,0,0,0
Can you write a Python function to find the product of all elements in a list,Programming,30,15,0,15,0,0,0,0
Write a Java Spring Boot application that integrates with Apache Flink for real-time data processing. Implement producer and consumer mechanisms. quality: good,DevOps,49,12,10,12,5,10,0,0
Create a C++ class for a simple calculator.,Programming,22,12,0,10,0,0,0,0
"Create a Python program that opens a file and writes the string 'Hello, World!' into it.",General,30,15,0,15,0,0,0,0
Can you create a model to classify images of animals?,Machine Learning,22,12,0,10,0,0,0,0
Design a Python function to sort a list of numbers in ascending order using the quicksort algorithm.,Programming,35,15,5,15,0,0,0,0
What's the command to enable HTTP2 on our Nginx server?,DevOps,27,12,5,10,0,0,0,0
Develop a detailed plot for a dystopian young adult novel where the main character is a 17-year-old girl who must navigate the dangers of a post-apocalyptic world.,Writing,39,12,10,12,5,0,0,0
Implement a support vector machine algorithm to classify customers based on their demographic and behavioral data. ,Machine Learning,22,12,0,10,0,0,0,0
Implement a binary search algorithm in Rust to find a specific element in a sorted array.,Research,35,15,5,15,0,0,0,0
I want to make a JavaScript program that takes a string and prints its characters in reverse order.,General,27,12,0,10,0,5,0,0
"Write a Java program to read a text file and extract sentences containing a specific keyword. The program should ignore case and punctuation, and return the extracted sentences in a list.",Programming,39,12,0,12,0,10,0,5
Can you help me write a bash script to backup and restore a PostgreSQL database on a Ubuntu server? The database is named 'mydb' and the password is 'mysecretpassword'. Please make sure the script works with all Ubuntu versions.,DevOps,44,12,10,12,5,0,0,5
Write a script for a 2-minute video about the benefits of meditation for mental health.,Writing,49,12,10,12,5,10,0,0
"Research potential applications of Graph Neural Networks in predicting stock market prices within the next 5 years, considering a minimum 3-year historical dataset. Please provide a detailed report in a Word document, 10-15 pages, with at least 2 references per section. ",Research,61,12,10,12,5,12,0,10
Build a model to classify text as persuasive or not. ,Machine Learning,15,10,0,5,0,0,0,0
Create a Python script to monitor network traffic using the scapy library.,Programming,40,15,10,15,0,0,0,0
Implement a clustering algorithm to group customers based on their demographic and behavioral data. Use a publicly available dataset. ,Machine Learning,27,12,5,10,0,0,0,0
Develop a recommender system for a news platform based on user ratings and preferences. The system should be able to handle missing values and recommend at least 5 items per user. ,Machine Learning,32,12,5,10,0,0,0,5
Build a neural network to classify text as spam or not spam.,Machine Learning,20,10,0,10,0,0,0,0
"Create a Java program to simulate the behavior of a coin toss, displaying the results and calculating the probability of getting heads or tails.",Research,39,12,5,12,0,10,0,0
Create a model to predict the probability of a student dropping out based on their academic performance and demographic data. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,57,12,10,13,5,12,0,5
"Describe a city that is entirely made of gold. Write in the style of a fantasy novel, focusing on the theme of wealth and luxury.",Writing,49,12,10,12,5,10,0,0
Write a Go program to find the maximum value in a slice of integers,Programming,30,15,0,15,0,0,0,0
"Write a persuasive essay arguing in favor of universal healthcare. The essay should be 500 words, include statistical data and expert opinions, and be written in a formal tone.",Writing,50,15,10,10,0,10,0,5
"Write a 500-word blog post on the benefits of using machine learning for personalized medicine, including examples and statistics. Include three case studies and a conclusion. Format the post with headings and subheadings. Use a formal tone and include a call-to-action at the end.",Writing,67,15,10,12,0,12,10,10
Can you generate a list of 5 random numbers between 1 and 100?,General,50,15,0,15,0,15,0,5
"Create a Python function to calculate the average word length of a given text file, considering only words with 3 or more characters. Handle exceptions for invalid file paths and ensure the result is rounded to two decimal places.",Programming,64,15,10,12,5,10,0,12
"Generate a Go program that calculates the Fibonacci sequence up to a given number, then prints the result.",General,45,15,0,15,0,15,0,0
Design a recommendation engine for products based on user behavior and contextual information.,Machine Learning,34,12,10,12,0,0,0,0
Write a piece of creative nonfiction about a person who experiences a life-changing event. I want it to be reflective and thought-provoking. Just explore the themes of transformation and personal growth.,Writing,32,12,5,10,0,5,0,0
"Generate a Python script that reads a CSV file and outputs the unique values in a specific column, formatted as a JSON object.",General,37,12,5,10,0,10,0,0
Develop a recommendation system for a e-commerce platform based on user purchase history and product features. Provide a list of top 10 product recommendations for a user.,Machine Learning,49,12,10,12,5,10,0,0
Design a simple banking system using object-oriented programming in Python.,General,30,15,5,10,0,0,0,0
Develop a program to calculate the average of all the numbers in a given list.,Research,30,15,0,15,0,0,0,0
Write a short script for a comedy TV show scene where two characters get into a ridiculous argument over a silly topic.,Writing,27,12,0,10,0,5,0,0
Please set up a monitoring system for a Java application.,DevOps,15,10,0,5,0,0,0,0
Write a product description for a new line of eco-friendly cleaning products. Focus on their natural ingredients and effectiveness.,Writing,27,12,5,10,0,0,0,0
Develop a Ruby program to perform insertion sort on an array of integers,Programming,30,15,0,15,0,0,0,0
Can you create a model to classify text as positive or negative?,Machine Learning,30,10,0,10,0,10,0,0
Train a model to recognize hand-written digits.,Machine Learning,20,10,0,10,0,0,0,0
Create a model that can recognize objects in images.,Machine Learning,22,12,0,10,0,0,0,0
Write a short story about a group of friends who go on a vacation.,Writing,15,10,5,0,0,0,0,0
Develop a Terraform configuration to provision an AWS S3 bucket with the necessary access controls and configure it to store data from a Java application.,DevOps,35,12,10,13,0,0,0,0
I need a script to automate the deployment of a PHP application to a cloud platform. Please provide the code and a step-by-step explanation of how it works.,DevOps,44,12,10,12,0,10,0,0
Build a model that can classify images into cats and dogs.,Machine Learning,20,10,0,10,0,0,0,0
Can you write a Python function to find the product of all elements in a 2D list,Programming,45,15,5,15,0,10,0,0
Create a simple game using JavaScript and the Phaser library. Include characters that can move around the screen.,Programming,27,12,5,10,0,0,0,0
Write a C++ function to calculate the greatest common divisor (GCD) of two integers using the Euclidean algorithm.,Programming,40,15,10,15,0,0,0,0
Train a model to recognize objects in images using transfer learning.,Machine Learning,22,12,0,10,0,0,0,0
Create a script to send a weekly report about system resource usage to our team's email list.,DevOps,37,12,5,10,0,10,0,0
Please automate the process of starting and stopping services on a Windows server.,DevOps,27,12,5,10,0,0,0,0
"Generate a Go program that calculates the time complexity of a given algorithm, then prints the result.",General,37,12,0,15,0,10,0,0
Use Python and the Scikit-learn library to develop a simple classifier for a binary classification task.,Research,27,12,5,10,0,0,0,0
Machine learning question,Machine Learning,0,0,0,0,0,0,0,0
"Develop Nodejs application that interacts with Azure Service Bus using azure-functions. Implement auto-retrying mechanism, error logging and metrics monitoring. quality: excellent",DevOps,49,12,10,12,5,0,0,5
Implement a decision tree algorithm to classify customers based on their demographic and behavioral data. ,Machine Learning,24,12,0,12,0,0,0,0
Develop a Python program to perform counting sort on a list of integers,Programming,30,15,0,15,0,0,0,0
Write a JavaScript function that takes a string and returns the string with all characters in lowercase.,General,30,15,0,15,0,0,0,0
Design a system to recommend products to customers based on their browsing history and preferences. Implement the model in Java with a code repository hosted on GitHub. Provide a detailed report in a PDF document. ,Research,37,12,5,10,0,10,0,0
Implement a binary search algorithm in Java to find a specific element in a sorted array. Include a test suite to verify the correct execution of the algorithm.,Research,50,15,10,15,0,10,0,0
Create a model to classify text into different categories based on its sentiment and tone. The model should be able to handle text of varying lengths and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.,Machine Learning,61,12,10,12,5,12,0,10
Develop a model to predict the stock prices of a company.,Machine Learning,17,12,0,5,0,0,0,0
Create a list of 10 common medical conditions that can be treated with physical therapy.,Writing,45,15,10,10,0,10,0,0
Write a short story about a group of friends who go on a road trip across the United States.,Writing,27,12,5,10,0,0,0,0
Can you write a research paper on AI in cybersecurity?,Research,15,10,0,5,0,0,0,0
Create a script that takes a string as input and prints it in reverse.,General,30,15,0,15,0,0,0,0
Build a model to predict the stock prices of a company. The model should be able to handle historical data and make predictions for future time steps. Use a dataset from a reputable source and evaluate the model's performance using metrics such as mean absolute error and mean squared error. Consider using a combination of supervised and unsupervised learning approaches to improve the model's performance.,Machine Learning,44,12,10,12,0,5,0,5
Build a model to classify text as enthusiastic or not. ,Machine Learning,22,12,0,10,0,0,0,0
Create a Python script to convert images from one format to another using Pillow library.,Programming,30,15,5,10,0,0,0,0
Create a simple GUI application using JavaScript and the DOM library to display a list of items and allow users to add or remove items.,Programming,37,12,5,10,0,10,0,0
Analyze the sentiment of customer reviews on Yelp and determine the top 5 positive and negative words used.,Machine Learning,44,12,10,12,0,10,0,0
Create a model to classify text into different categories based on its sentiment. The model should be able to handle text of varying lengths and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.,Machine Learning,62,12,10,13,5,12,0,10
Develop a system to recommend products to customers based on their search history and purchase behavior. The system should be able to handle missing values and recommend at least 10 products per user. ,Machine Learning,32,12,5,10,0,0,0,5
Create a simple chatbot using JavaScript and the Watson API to respond to basic user queries.,Programming,37,12,5,10,0,10,0,0
Develop a JavaScript function to find the sum of all elements in a given array.,Programming,45,15,5,15,0,10,0,0
Design a JavaScript function to validate a credit card number using the Luhn algorithm.,Programming,40,15,10,15,0,0,0,0
Find the optimal combination of hyperparameters for a linear regression model to predict house prices in Boston using the Boston Housing dataset from Kaggle. Use GridSearchCV from Scikit-learn and evaluate the model's performance on the test set. Include a brief discussion of the significance of the features and the results.,Research,54,12,10,12,5,10,0,5
Create a PHP script to display 'Hello World' on the browser.,Programming,37,12,5,10,0,10,0,0
Write a Java Spring Boot application that integrates with RabbitMQ for distributed task queueing. Implement dead-letter queue and error handling. quality: poor,DevOps,27,12,5,10,0,0,0,0
"Implement a Java class for a binary search tree with methods for insert, delete, and search operations.",Programming,30,15,0,15,0,0,0,0
Analyze the sentiment of social media posts and determine the top 5 hashtags used.,Machine Learning,35,10,5,10,0,10,0,0
What is the difference between null and undefined in JavaScript?,General,40,15,10,15,0,0,0,0
"Write a 3-page historical narrative about the rise of the Industrial Revolution in Britain. Include key figures, events, and cultural developments that shaped the movement's success. Format the text as a descriptive essay with a clear structure and logical progression of ideas. Assume an audience with a background in history.",Writing,55,12,10,12,5,12,0,5
"Create a 1-page business plan for a startup that specializes in virtual reality entertainment, including a market analysis and financial projections.",Writing,44,12,10,12,0,10,0,0
Create a Java program that takes a list of integers and returns the sum of the squares of the even numbers.,General,45,15,0,15,0,15,0,0
Develop a Python script to monitor our company's system resource usage and send alerts if resources fall below a certain threshold.,DevOps,42,12,5,10,0,10,0,5
"Create a character profile for a protagonist in a historical drama novel. Include their backstory, motivations, and personality traits.",Writing,39,12,10,12,5,0,0,0
Examine the impact of sleep deprivation on cognitive function.,Research,22,12,0,10,0,0,0,0
"Design a program to generate random passwords with a combination of uppercase and lowercase letters, numbers, and special characters.",Research,51,15,10,12,0,10,0,5
Implement a Java class for a queue with methods for enqueue and dequeue operations.,Programming,27,12,5,10,0,0,0,0
Machine learning stuff,Machine Learning,0,0,0,0,0,0,0,0
Describe a typical day in the life of a doctor.,Writing,27,12,5,5,5,0,0,0
Create a model to classify text into different categories based on its sentiment. The model should be able to handle text of varying lengths and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.,Machine Learning,54,12,10,12,5,10,0,5
Develop a marketing strategy for a new product.,Writing,15,10,0,5,0,0,0,0
Can you provide some ideas on how to apply AI in marketing?,Research,25,5,5,5,0,10,0,0
Train a model to recognize objects in images using a transfer learning approach.,Machine Learning,22,12,0,10,0,0,0,0
I need help,General,0,0,0,0,0,0,0,0
"Build a RESTful API using Node.js and Express to create, read, and update user information in a PostgreSQL database.",General,40,15,10,15,0,0,0,0
Create a Terraform configuration to create an AWS CloudFront distribution for our company's S3 bucket.,DevOps,34,12,10,12,0,0,0,0
Research and implement a chatbot using rule-based systems for customer service. Train it on a dataset of customer queries and evaluate its performance using metrics such as accuracy and response time.,Research,32,12,5,10,0,5,0,0
Create a model to predict the probability of a student achieving a certain grade based on their academic performance and demographic data. Use logistic regression and cross-validation. Provide a detailed report and code for the same. ,Machine Learning,54,12,10,12,5,10,0,5
Create a model to classify text as formal or informal based on its content.,Machine Learning,22,12,0,10,0,0,0,0
Develop a model to predict the likelihood of a user responding to a survey based on their past engagement with the survey and demographic information.,Machine Learning,35,12,10,13,0,0,0,0
"Create a simple calculator that can perform basic math operations like addition, subtraction, multiplication, and division.",General,32,12,0,10,0,10,0,0
"Create a 2-page press kit for a new product launch, including a description of the product and a list of key features.",Writing,32,12,0,10,0,10,0,0
Write a poem about the beauty of nature.,Writing,20,10,5,5,0,0,0,0
Machine learning task,Machine Learning,5,5,0,0,0,0,0,0
Write a piece of literary fiction about a character who grapples with their mental health. I want it to be thought-provoking and emotionally resonant. Just explore the themes of mental health and stigma.,Writing,37,12,5,10,0,5,0,5
"Write a PHP function that generates a random number between 1 and 100, then prints the result.",General,30,10,0,10,0,10,0,0
Can you help me write a PowerShell script to automate the deployment of a SQL Server database on a cloud platform? The database is named 'mydb' and the password is 'mysecretpassword'. Please make sure the script works with all cloud platforms.,DevOps,49,12,10,12,5,5,0,5
I need a script to extract data from an Excel file.,General,15,10,0,5,0,0,0,0
Create a model that can recognize hand-written digits.,Machine Learning,20,10,0,10,0,0,0,0
Create a Ruby program to implement a basic hash table with an average time complexity of O(1) for insertions and deletions.,Research,42,12,5,10,0,10,0,5
"Design a C++ class for a priority queue with insert, delete, and peek operations.",Programming,30,15,0,15,0,0,0,0
Design a Python program to simulate a bank account system with multiple users.,Programming,27,12,5,10,0,0,0,0
Write a product comparison between two laptop models. Focus on their performance and battery life.,Writing,37,12,5,10,0,10,0,0
"Design a C++ class to represent a graph with unweighted edges, and provide methods for adding nodes and edges, as well as finding the shortest path between two nodes.",General,24,12,0,12,0,0,0,0
"Make a Java class to represent a student, with methods for getting and setting student information.",General,22,12,0,10,0,0,0,0
Develop a C++ program to perform matrix multiplication,Programming,30,15,0,15,0,0,0,0
Analyze the sentiment of customer feedback about a specific product over the past year. Identify key drivers of positive sentiment.,Machine Learning,37,12,5,10,0,10,0,0
Tell me about the future of renewable energy sources.,Research,20,10,5,5,0,0,0,0
"Implement a JavaScript class to represent a bank account with properties for account number, balance, and owner. The class should include methods to deposit and withdraw money.",Programming,22,12,0,10,0,0,0,0
Create a Java script to check if a given string is a palindrome or not.,Programming,30,15,5,10,0,0,0,0
Create a model that can classify text as sarcastic or not.,Machine Learning,25,10,5,10,0,0,0,0
I need a script to automate the deployment of a Java application to a Tomcat server. Please provide the code and a step-by-step explanation of how it works.,DevOps,44,12,10,12,0,10,0,0
Develop a Python script to monitor our company's system resource usage and send alerts for unusual activity.,DevOps,37,12,5,10,0,10,0,0
Design a function in Python that takes a list of strings and returns the first string that meets a certain condition.,General,37,12,5,10,0,10,0,0
"Create a Go program that simulates a bank account, with methods for depositing and withdrawing funds, as well as getting the current balance.",General,27,12,0,10,0,5,0,0
"Build a PHP web application to display a list of employees with their names, positions, and salaries. Include a search function to filter employees by name or position.",Programming,34,12,0,12,0,10,0,0
Create a C++ program to perform shell sort on an array of integers,Programming,35,15,5,15,0,0,0,0
"Develop a Python script to generate a random password for a user based on their preferences, including length, character set, and uniqueness.",Research,44,12,5,12,0,10,0,5
Write a JavaScript code to check if a number is prime.,Programming,45,15,0,15,0,15,0,0
Create a Java program that takes a string and returns the string with all characters in uppercase.,General,30,15,0,15,0,0,0,0
Use a Python library to connect to a PostgreSQL database.,Programming,20,10,0,10,0,0,0,0
"Develop a technical specification for a new product that enables users to track and manage their physical activity. The document should be 5-7 pages long, written in a technical tone, and include details on the hardware and software requirements, interface design, and testing procedures. Assume an audience with a background in computer science and exercise science.",Writing,62,12,10,13,5,12,0,10
Develop a Java program to display the binary representation of a given number.,General,37,12,5,10,0,10,0,0
Create a tutorial on how to create a custom AI model using a popular framework.,Writing,27,12,5,10,0,0,0,0
Create a Dockerfile for a Python application that uses Flask and runs on Ubuntu 18.04. The image should be 100MB in size and have a multi-stage build. quality: excellent,DevOps,40,12,10,13,0,0,0,5
Imagine a world with no gravity. Describe a typical day.,Writing,22,12,5,5,0,0,0,0
Build a simple machine learning model in Python using scikit-learn to classify handwritten digits.,General,29,12,5,12,0,0,0,0
Can you provide a general outline of how to automate the deployment of a Scala application to a cloud platform?,DevOps,44,12,10,12,0,10,0,0
Examine the applications of computer vision in healthcare. ,Research,22,12,5,5,0,0,0,0
Can you generate a PHP script to connect to a MySQL database and retrieve all the tables in the database?,General,37,12,5,10,0,10,0,0
"I'm looking for a historical fiction novel set in ancient Greece. The story should be 5-7 chapters long, written in the third person, and include themes of honor, duty, and loyalty. Use vivid descriptions to bring the setting to life.",Writing,42,12,5,10,0,5,0,10
"Create a 1-page press release for a new product launch, including a description of the product and a statement from the CEO.",Writing,32,12,0,10,0,10,0,0
Create a Kubernetes deployment for a web application written in Python. The service should run on port 80 and use load balancing. quality: poor,DevOps,32,12,5,10,0,0,0,5
Create a Ruby program that connects to a SQLite database and performs CRUD operations.,Programming,27,12,5,10,0,0,0,0
"I need a Python script to scrape the title and body of a webpage, and print these to the console.",General,32,12,0,10,0,10,0,0
"Implement a Python class to represent a bank account with properties for account number, balance, and owner. The class should include methods to deposit and withdraw money.",Programming,22,12,0,10,0,0,0,0
Train a model to predict the performance of a car based on its features and usage patterns.,Machine Learning,32,12,5,10,0,5,0,0
Develop a Python program to simulate a bank account.,General,15,10,0,5,0,0,0,0
Analyze the sentiment of customer feedback about a specific product over the past year. Identify key drivers of positive and negative sentiment.,Machine Learning,49,12,10,12,5,10,0,0
Develop a recommender system for a e-commerce website that suggests products to users based on their past purchases and browsing history. The system should be able to handle large datasets and make recommendations in real-time. Use a combination of collaborative filtering and content-based filtering to improve the system's performance.,Machine Learning,44,12,10,12,5,0,0,5
Develop a classification model using logistic regression to predict customer churn based on demographic data and purchase history.,Machine Learning,37,12,5,10,0,10,0,0
"Write a persuasive essay arguing in favor of increased funding for arts programs in schools. The essay should be 1000 words, include personal anecdotes and expert opinions, and be written in a formal tone.",Writing,66,12,10,12,5,10,5,12
Write a script for a video about the benefits of a plant-based diet.,Writing,12,12,0,0,0,0,0,0
Implement a random forest to predict stock prices based on historical data.,Machine Learning,27,12,5,10,0,0,0,0
I need help with a project,Research,5,5,0,0,0,0,0,0
Develop a script to automate the deployment of a MongoDB database on a MongoDB Atlas cluster using a Terraform configuration file. Please provide the code and a step-by-step explanation of how it works.,DevOps,49,12,10,12,0,10,5,0
Develop a web scraping tool using BeautifulSoup and Scrapy to extract information from a website about the latest news in technology.,General,34,12,10,12,0,0,0,0
Analyze the impact of social media on mental health.,Research,32,12,10,10,0,0,0,0
"Develop a technical specification for a new product that enables users to create and edit 3D models. The document should be 5-7 pages long, written in a technical tone, and include details on the hardware and software requirements, interface design, and testing procedures. Assume an audience with a background in computer-aided design (CAD) and engineering.",Writing,62,12,10,13,5,10,0,12
"Create a Java program to simulate a game of Rock, Paper, Scissors, allowing users to play against the computer.",Research,44,12,5,12,5,10,0,0
Write a C++ program that takes a string as input and prints its length.,General,25,10,0,10,0,5,0,0
Write a Python script to integrate Slack with Prometheus and Grafana for alerting and visualization. Use Slack API and ensure bot is properly configured. quality: excellent,DevOps,54,12,10,12,5,10,0,5
I need a script to send an email from my server using Python.,General,30,10,5,10,0,5,0,0
I have a dataset of customer interactions. Can you build a model to identify the most effective marketing channels?,Machine Learning,27,12,5,10,0,0,0,0
Can you provide a general outline of how to automate the deployment of a C++ application to a cloud platform?,DevOps,44,12,10,12,0,10,0,0
Make sure the system is secure.,DevOps,5,5,0,0,0,0,0,0
Write a Python script to automate Docker deployment for a web application. Use Docker API and ensure proper configuration. quality: poor,DevOps,32,12,5,10,0,0,0,5
"Build a simple RESTful API in Python using Flask that allows users to create, read, and delete books.",General,37,12,5,10,0,10,0,0
I have a dataset of customer interactions. Can you build a model to identify the most effective marketing channels?,Machine Learning,27,12,5,10,0,0,0,0
"Write a persuasive essay arguing in favor of stricter environmental regulations. The essay should be 750 words, include statistical data and expert opinions, and be written in a formal tone.",Writing,60,15,10,10,5,10,0,10
"Design a C++ class template to represent a stack, with methods for push, pop, and top operations.",General,40,15,10,15,0,0,0,0
Create a model to classify images of cars as sedan or SUV.,Machine Learning,27,12,5,10,0,0,0,0
"Investigate the applications of computer vision in quality control for manufacturing processes, including defect detection and object recognition. Provide a 10-page report in IEEE format.",Research,49,12,10,12,0,10,0,5
Create a model to predict the outcome of sports games using statistical analysis and machine learning. Provide a code repository hosted on GitHub and a detailed report in a Markdown document. ,Research,49,12,10,12,5,10,0,0
Can you create a CI/CD pipeline?,DevOps,10,5,0,5,0,0,0,0
Tell me about artificial intelligence.,Writing,15,5,5,5,0,0,0,0
Build a Java program to simulate a vending machine with methods to dispense and restock items.,Programming,22,12,0,10,0,0,0,0
"Design a Rust program to implement a basic web server using the actix-web crate, including request and response formatting, error handling, and logging.",Research,40,15,10,15,0,0,0,0
"I'd like to create a RESTful API using Flask to handle user requests. The API should be able to handle GET, POST, PUT, and DELETE requests. Can you provide a basic example?",General,27,12,5,10,0,0,0,0
Develop a chatbot that can answer frequently asked questions about a company's products and services. The chatbot should be able to understand user queries and respond accordingly. Use a combination of natural language processing and machine learning to achieve this. Implement the chatbot using Python and deploy it on a cloud platform like AWS or Google Cloud.,Machine Learning,44,12,10,12,5,0,0,5
Design a neural network using TensorFlow to predict the likelihood of a customer buying a product based on their demographic information.,Research,54,12,10,12,5,10,5,0
"Design a C++ class for a binary search tree with insert, delete, and search operations.",Programming,40,15,10,15,0,0,0,0
"Build a chatbot that can simulate a conversation with a human, using NLP and machine learning, and ensure a 95% accuracy rate in understanding user input.",Research,32,12,5,10,0,0,0,5
"Design a data warehouse to store and analyze IoT sensor data from industrial equipment, considering scalability, data quality, and security constraints. Provide a high-level architecture diagram.",Research,56,12,10,12,0,10,0,12
Create a JavaScript function that validates a credit card number using the Luhn algorithm.,General,40,15,10,15,0,0,0,0
Can you write a function that prints the numbers from 1 to 10?,General,30,10,0,10,0,10,0,0
Research and suggest a text preprocessing technique for natural language processing tasks,Research,32,12,10,10,0,0,0,0
What are some common techniques for feature engineering in machine learning? ,Research,25,15,0,10,0,0,0,0
Build a program to calculate the area and perimeter of a circle given its radius.,Research,35,15,5,15,0,0,0,0
Create a Rust program that implements a simple calculator. Allow users to input mathematical expressions and evaluate them.,Programming,32,12,5,10,0,5,0,0
"Create a 1-page personal statement for a graduate school application, including a description of my research experience and goals.",Writing,49,12,10,12,5,10,0,0
"Compare the security features of 3 different encryption algorithms (AES, RSA, Elliptic Curve Cryptography).",Research,34,12,10,12,0,0,0,0
Just give me the answer,Machine Learning,0,0,0,0,0,0,0,0
Use a PHP framework to create a simple web application.,Programming,17,12,0,5,0,0,0,0
"Create a user manual for a new smart thermostat model. Include installation instructions, setup guide, and troubleshooting tips.",Writing,37,12,5,10,0,10,0,0
Analyze the impact of climate change on polar bears.,Research,34,12,10,12,0,0,0,0
Implement a recommendation system using collaborative filtering to suggest products to users based on their past purchases.,Machine Learning,27,12,5,10,0,0,0,0
Analyze the impact of the number of hidden layers on the performance of a neural network model for a binary classification task. Compare the results with different activation functions and provide recommendations for optimal network architecture.,Research,35,12,10,13,0,0,0,0
Analyze the impact of social media on body image.,Research,32,12,10,10,0,0,0,0
Create a model to classify images into different animal species based on their characteristics. The model should be able to handle images of varying sizes and formats. Use a dataset from a reputable source and evaluate the model's performance using accuracy and precision metrics.,Machine Learning,54,12,10,12,5,10,0,5
Develop a Java Spring Boot application that integrates with RabbitMQ for distributed task queueing. Implement dead-letter queue and error handling. quality: excellent,DevOps,39,12,10,12,5,0,0,0
Create a model to predict the weather in a given location. The model should be able to handle historical data and make predictions for future time steps. Use a dataset from a reputable source and evaluate the model's performance using metrics such as mean absolute error and mean squared error.,Machine Learning,49,12,10,12,0,10,0,5
Design a recommendation engine for products based on user behavior and contextual information.,Machine Learning,34,12,10,12,0,0,0,0
"Write a JavaScript function that prints 'Hello, World!' to the console.",General,30,15,0,15,0,0,0,0
"Develop a web scraper to extract company information from LinkedIn profiles, including name, title, and industry, and save the data in a CSV file.",Research,39,12,5,12,0,10,0,0
"I need a script to generate a random quiz with 10 questions on history, with each question having 4 possible answers and the correct answer being a random choice between them.",General,27,12,5,10,0,0,0,0
"Compare the performance of different machine learning algorithms (decision trees, random forests, support vector machines, and neural networks) on the Pima Indians Diabetes dataset. Use Python and the Scikit-learn library to implement and train the models, and evaluate their accuracy using metrics such as precision, recall, F1-score, and AUC-ROC. Present the results in a table and include a brief discussion of the findings.",Research,46,12,10,12,0,12,0,0
I need a C++ program that calculates the greatest common divisor (GCD) of two numbers. The program should take two integers as input and return the GCD as an integer.,General,45,15,0,15,0,15,0,0
Tell me about blockchain technology.,Research,20,10,5,5,0,0,0,0
Build a Java class to represent a point in 2D space with properties for x and y coordinates. The class should include methods to get and set these properties.,Programming,22,12,0,10,0,0,0,0
"Create a deployment script for a Node.js application using Docker and Kubernetes, considering the need for scaling and high availability, and output the YAML file in the format specified by the Kubernetes configuration file.",DevOps,51,12,12,12,0,10,0,5
